Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,31,0.312,2.372,0.028,2.000,2.000,0.944,7.124,306.335
1,31,0.410,2.687,0.007,1.000,2.000,0.957,6.500,286.128
2,33,0.381,2.253,0.016,1.000,2.000,0.952,6.803,337.185
3,33,0.400,2.419,0.011,1.000,0.000,0.957,6.316,265.732
4,51,0.303,2.585,0.012,1.000,3.000,0.926,9.663,591.951
5,39,0.440,2.160,0.009,1.000,0.000,0.948,7.191,321.658
6,49,0.380,2.450,0.014,1.000,1.000,0.963,10.237,487.565
7,29,0.416,2.322,0.013,1.000,0.000,0.950,4.819,234.560
8,25,0.373,2.349,0.007,1.000,0.000,0.948,4.786,179.164
9,27,0.461,2.472,0.015,1.000,0.000,0.965,4.449,198.356
10,30,0.426,2.123,0.007,1.000,1.000,0.946,4.917,232.173
11,36,0.398,2.222,0.005,1.000,1.000,0.951,5.229,329.146
12,26,0.398,2.558,0.004,1.000,0.000,0.957,4.366,184.631
13,30,0.387,2.280,0.005,1.000,0.000,0.922,5.525,210.426
14,37,0.291,2.191,0.020,1.000,0.000,0.935,7.027,307.652
15,44,0.358,2.158,0.013,1.000,4.000,0.937,8.231,477.511
16,33,0.397,2.551,0.006,1.000,1.000,0.946,5.915,271.992
17,63,0.268,1.981,0.036,2.000,5.000,0.921,10.611,734.720
18,35,0.386,2.413,0.004,1.000,0.000,0.951,1.292,242.430
19,41,0.374,2.405,0.018,1.000,1.000,0.935,1.170,350.926
20,43,0.451,2.308,0.009,1.000,0.000,0.930,1.855,323.781
21,38,0.380,2.290,0.016,2.000,3.000,0.924,2.124,307.355
22,29,0.403,2.872,0.007,1.000,0.000,0.964,1.425,223.180
23,39,0.428,2.212,0.008,1.000,2.000,0.967,1.511,337.435
24,27,0.427,2.505,0.003,1.000,1.000,0.966,2.024,180.516
25,30,0.342,2.386,0.011,1.000,1.000,0.927,1.538,215.647
26,22,0.397,2.390,0.006,1.000,0.000,0.922,1.043,134.202
27,40,0.384,2.454,0.015,1.000,1.000,0.936,2.246,325.232
28,42,0.400,2.565,0.015,2.000,1.000,0.926,2.178,362.699
29,39,0.328,2.466,0.012,1.000,1.000,0.932,2.209,341.617
