Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,3,0.484,3.423,0.377,2.000,0.000,0.979,1.219,52.019
1,4,0.454,1.859,0.470,3.000,0.000,0.981,1.313,50.190
2,40,0.380,1.793,0.018,1.000,14.000,0.961,3.775,696.039
3,35,0.387,2.362,0.012,1.000,9.000,0.979,3.440,556.254
4,11,0.479,2.132,0.281,3.000,0.000,0.951,1.846,111.768
5,13,0.451,2.009,0.487,6.000,0.000,0.968,1.741,123.604
6,12,0.428,1.696,0.643,8.000,1.000,0.964,1.886,129.269
7,7,0.406,1.678,0.182,2.000,1.000,0.968,1.670,83.920
8,14,0.440,2.404,0.095,2.000,2.000,0.970,2.132,183.165
9,10,0.442,2.846,0.651,7.000,0.000,0.980,1.739,116.589
10,10,0.445,4.206,0.404,4.000,0.000,0.962,1.784,103.134
11,12,0.428,2.233,0.188,4.000,1.000,0.959,1.993,145.191
12,15,0.420,2.317,0.373,6.000,1.000,0.969,1.938,152.816
13,17,0.416,1.888,0.073,2.000,1.000,0.944,2.120,176.845
14,15,0.446,1.821,0.015,1.000,2.000,0.963,2.052,159.000
15,12,0.451,1.969,0.248,6.000,0.000,0.968,1.747,122.460
16,12,0.430,2.682,0.468,7.000,0.000,0.956,1.847,111.796
17,11,0.426,1.834,0.105,3.000,0.000,0.963,1.712,110.606
18,11,0.434,1.813,0.178,3.000,1.000,0.965,1.610,120.004
19,11,0.439,2.057,0.311,4.000,0.000,0.967,1.858,93.462
20,20,0.440,2.715,0.082,3.000,2.000,0.948,2.228,246.834
21,17,0.464,2.380,0.203,4.000,0.000,0.965,1.944,177.170
22,52,0.357,1.827,0.021,0.000,23.000,0.962,4.804,997.744
23,8,0.411,2.543,0.230,3.000,0.000,0.980,1.600,97.254
24,25,0.414,2.164,0.196,9.000,6.000,0.967,2.836,379.674
25,12,0.420,2.198,0.129,1.000,1.000,0.970,1.980,115.433
26,7,0.427,1.734,0.019,1.000,0.000,0.965,1.653,84.084
27,5,0.428,1.813,0.351,2.000,0.000,0.961,1.310,53.687
28,12,0.391,2.292,0.029,0.000,1.000,0.954,1.679,111.902
29,62,0.412,1.299,0.013,0.000,36.000,0.950,5.492,1409.024
