Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,8,0.455,1.909,0.016,1.000,0.000,0.916,3.301,44.177
1,4,0.384,1.993,0.086,2.000,0.000,0.905,1.336,22.980
2,6,0.486,2.343,0.001,1.000,0.000,0.952,2.519,35.875
3,4,0.478,2.096,0.000,1.000,0.000,0.976,1.946,23.360
4,4,0.606,2.609,0.000,1.000,0.000,0.958,2.014,23.940
5,7,0.487,2.093,0.004,1.000,0.000,0.921,2.874,41.132
6,7,0.334,1.972,0.022,1.000,0.000,0.893,2.747,35.339
7,1,0.452,2.147,0.000,1.000,0.000,0.973,0.310,11.635
8,2,0.241,1.905,0.013,1.000,0.000,0.854,0.616,18.823
9,1,0.534,1.526,0.000,1.000,0.000,0.992,0.402,12.110
10,5,0.422,2.414,0.007,1.000,0.000,0.913,2.977,28.419
11,2,0.514,1.842,0.001,1.000,0.000,0.951,0.712,15.184
12,3,0.289,2.114,0.084,2.000,0.000,0.796,1.132,18.792
13,3,0.483,1.601,0.001,1.000,0.000,0.926,1.218,19.266
14,2,0.481,1.823,0.000,1.000,0.000,0.960,0.666,14.717
15,5,0.485,1.877,0.006,1.000,0.000,0.859,1.984,27.241
16,2,0.474,2.743,0.000,1.000,0.000,0.955,0.723,17.218
17,4,0.459,1.976,0.108,2.000,0.000,0.934,1.466,22.922
18,2,0.496,1.710,0.000,1.000,0.000,0.963,0.772,15.571
19,8,0.399,2.159,0.004,1.000,0.000,0.894,3.358,40.576
20,5,0.513,2.731,0.001,1.000,0.000,0.951,2.400,33.845
21,1,0.427,2.246,0.000,1.000,0.000,0.973,0.308,11.839
22,6,0.323,2.401,0.014,1.000,0.000,0.896,2.432,34.309
23,3,0.503,2.247,0.001,1.000,0.000,0.944,1.078,18.956
24,2,0.603,1.927,0.000,1.000,0.000,0.967,0.725,15.910
25,2,0.566,2.019,0.000,1.000,0.000,0.973,0.817,15.456
26,1,0.343,2.657,0.000,1.000,0.000,0.956,0.380,11.492
27,3,0.472,1.834,0.001,1.000,0.000,0.964,1.134,18.948
28,3,0.406,2.222,0.002,1.000,0.000,0.960,1.292,19.551
29,3,0.455,2.050,0.001,1.000,0.000,0.801,1.141,18.627
