Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,4,0.119,0.379,2.249,1.012,5.000,1.000,0.978,49.275,106.380
1,5,0.103,0.425,2.275,0.382,4.000,0.000,0.963,52.564,101.340
2,15,0.127,0.464,2.275,0.283,8.000,3.000,0.931,102.472,263.419
3,3,0.033,0.549,2.377,0.244,2.000,0.000,0.978,22.957,61.235
4,3,0.020,0.554,2.431,0.234,2.000,1.000,0.962,19.699,57.151
5,5,0.089,0.463,2.320,0.425,4.000,0.000,0.972,47.561,98.939
6,5,0.058,0.244,2.356,0.036,2.000,2.000,0.964,36.860,94.244
7,4,0.075,0.439,2.257,0.277,3.000,1.000,0.950,36.944,92.759
8,5,0.061,0.408,2.595,0.248,3.000,0.000,0.951,38.960,84.219
9,10,0.095,0.357,2.222,0.010,1.000,4.000,0.900,71.348,177.583
10,7,0.101,0.206,2.284,0.029,1.000,2.000,0.883,57.944,118.008
11,4,0.054,0.312,2.867,0.227,2.000,1.000,0.937,31.894,90.963
12,4,0.035,0.313,2.380,0.160,2.000,1.000,0.967,27.588,83.576
13,2,0.015,0.371,2.502,0.343,2.000,0.000,0.852,14.067,46.352
14,4,0.067,0.355,2.275,0.144,2.000,1.000,0.819,35.011,94.799
15,5,0.079,0.255,2.991,0.022,1.000,1.000,0.882,43.986,109.152
16,5,0.051,0.271,2.374,0.022,1.000,2.000,0.955,37.278,93.176
17,21,0.205,0.411,2.099,0.014,1.000,7.000,0.926,229.525,548.259
18,14,0.106,0.282,2.067,0.020,2.000,4.000,0.941,263.623,485.165
19,5,0.045,0.444,2.346,0.092,2.000,0.000,0.927,90.823,169.681
20,28,0.212,0.350,1.917,0.021,1.000,12.000,0.884,498.068,1071.459
21,11,0.163,0.300,2.149,0.009,1.000,2.000,0.926,237.986,396.203
22,27,0.222,0.463,1.952,0.008,1.000,7.000,0.939,463.822,953.797
23,7,0.089,0.177,2.278,0.153,3.000,2.000,0.926,153.299,283.819
24,6,0.054,0.334,2.636,0.061,1.000,2.000,0.965,109.875,214.129
25,7,0.100,0.393,2.145,0.004,1.000,2.000,0.912,157.225,299.297
26,5,0.065,0.411,2.351,0.002,1.000,1.000,0.945,99.997,184.777
27,6,0.063,0.420,2.289,0.009,1.000,1.000,0.955,117.869,209.092
28,20,0.165,0.339,2.169,0.021,1.000,6.000,0.900,351.799,661.848
29,32,0.273,0.400,1.755,0.016,1.000,16.000,0.882,499.274,1130.528
