Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,3,0.343,2.998,0.031,1.000,2.000,0.979,2.225,61.125
1,39,0.341,2.411,0.013,1.000,2.000,0.944,38.669,504.399
2,23,0.453,2.331,0.001,1.000,0.000,0.964,20.763,192.711
3,30,0.419,2.353,0.005,1.000,1.000,0.960,23.236,332.961
4,41,0.390,2.520,0.011,1.000,3.000,0.927,29.961,488.500
5,1,0.485,2.464,0.105,1.000,0.000,0.981,1.015,35.419
6,55,0.371,2.233,0.020,1.000,1.000,0.946,51.802,881.674
7,41,0.387,2.101,0.012,0.000,7.000,0.934,31.014,492.166
8,23,0.422,2.618,0.001,1.000,0.000,0.961,19.371,216.590
9,38,0.385,2.402,0.013,1.000,0.000,0.941,34.513,487.669
10,21,0.466,2.378,0.049,1.000,2.000,0.961,15.284,183.739
11,34,0.431,2.517,0.012,1.000,1.000,0.958,28.653,402.372
12,27,0.441,2.824,0.003,0.000,1.000,0.958,19.916,283.382
13,41,0.373,2.120,0.006,1.000,1.000,0.926,33.083,482.395
14,35,0.442,2.273,0.003,1.000,3.000,0.954,30.257,404.175
15,38,0.400,2.202,0.008,1.000,2.000,0.953,39.625,519.727
16,15,0.508,2.351,0.012,1.000,0.000,0.956,10.002,112.302
17,29,0.437,2.172,0.001,1.000,2.000,0.957,27.483,310.220
18,35,0.392,2.532,0.003,1.000,2.000,0.956,35.097,410.418
19,30,0.441,2.354,0.003,1.000,2.000,0.959,26.624,324.233
20,42,0.444,2.243,0.004,0.000,2.000,0.934,32.554,486.836
21,35,0.399,2.119,0.011,1.000,3.000,0.949,28.538,400.158
22,46,0.419,2.316,0.008,1.000,3.000,0.946,47.319,559.563
23,33,0.486,2.124,0.003,1.000,4.000,0.974,32.292,333.024
24,40,0.431,2.154,0.004,0.000,0.000,0.963,29.849,353.119
25,26,0.344,2.174,0.008,0.000,0.000,0.942,12.200,177.717
26,33,0.409,2.175,0.003,0.000,2.000,0.949,17.707,277.409
27,21,0.461,2.444,0.000,1.000,0.000,0.963,5.444,109.352
28,41,0.428,2.670,0.008,0.000,2.000,0.926,15.556,371.912
29,27,0.461,2.545,0.003,1.000,0.000,0.929,18.250,193.655
