Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,16,0.4751,0.0018,0.0054,0.1804,4.2542,118.8021
1,6,0.5209,0.0587,0.3511,0.1156,1.3139,86.8678
2,10,0.4714,0.0004,0.0008,0.1575,2.2478,65.0983
3,16,0.5472,0.0005,0.0010,0.2457,4.7203,108.3835
4,21,0.5332,0.0005,0.0021,0.2019,5.1476,148.8587
5,11,0.4780,0.0003,0.0012,0.1466,2.7585,72.1472
6,17,0.5392,0.0008,0.0022,0.1811,3.8470,118.0338
7,12,0.4528,0.0005,0.0013,0.1857,2.7355,112.6173
8,14,0.4915,0.0006,0.0014,0.1602,2.8134,91.7892
9,19,0.5118,0.0008,0.0036,0.1747,6.2936,138.6132
10,10,0.5248,0.0004,0.0008,0.2095,2.2466,66.5356
11,12,0.4716,0.0004,0.0013,0.2159,2.6333,76.6012
12,17,0.4943,0.0014,0.0041,0.2074,5.5465,130.0210
13,16,0.4856,0.0014,0.0080,0.1863,4.8456,116.6695
14,12,0.4901,0.0008,0.0032,0.2257,2.9950,81.3598
15,13,0.4916,0.0010,0.0034,0.2577,2.8115,134.1622
16,11,0.4204,0.0007,0.0053,0.1653,2.8208,106.0326
17,11,0.5002,0.0005,0.0016,0.1753,2.5958,73.2092
18,9,0.4793,0.0005,0.0017,0.1701,1.8281,59.0786
19,15,0.5178,0.0006,0.0016,0.1763,2.6294,102.4912
20,17,0.5137,0.0004,0.0020,0.1884,4.9482,123.2021
21,22,0.4871,0.0003,0.0013,0.1744,7.2197,165.3917
22,16,0.4443,0.0004,0.0010,0.1526,4.4388,112.4944
23,16,0.4997,0.0004,0.0020,0.1846,3.2817,112.8079
24,13,0.5227,0.0026,0.0275,0.2178,2.6035,83.9177
25,7,0.6472,0.0279,0.1748,0.2240,1.5074,147.9033
26,20,0.5164,0.0004,0.0016,0.2078,6.2413,143.6375
27,19,0.5303,0.0006,0.0021,0.1777,5.2684,125.5107
28,16,0.5561,0.0006,0.0018,0.2041,4.5477,112.6391
29,16,0.5262,0.0006,0.0016,0.2153,5.4509,104.7633
