Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,42,0.4518,0.0051,0.0209,0.4841,37.6033,373.3122
1,37,0.4882,0.0042,0.0319,0.3245,35.2274,279.9109
2,38,0.4729,0.0028,0.0089,0.4500,39.8007,293.2417
3,53,0.3911,0.0082,0.0364,0.3946,54.8274,664.5808
4,30,0.3814,0.0119,0.0626,0.4891,21.7641,228.2978
5,44,0.4365,0.0116,0.0570,0.4670,39.9034,375.2373
6,26,0.4994,0.0012,0.0074,0.2913,19.0107,177.3699
7,2,0.4623,0.0001,0.0002,0.0223,0.4451,11.0696
8,25,0.4667,0.0041,0.0292,0.2183,16.4600,207.9720
9,19,0.4655,0.0017,0.0033,0.1957,16.8547,110.7947
10,31,0.4553,0.0134,0.0533,0.4180,26.4868,290.3165
11,40,0.4822,0.0118,0.0444,0.4831,45.3412,431.3022
12,34,0.4471,0.0037,0.0258,0.4095,29.4309,243.8482
13,25,0.4424,0.0023,0.0292,0.2885,17.3234,169.7965
14,40,0.4272,0.0105,0.0446,0.4488,33.7535,330.7249
15,17,0.4908,0.0033,0.0192,0.3022,11.1128,230.2089
16,22,0.4879,0.0144,0.0633,0.2765,15.0750,1225.9774
17,40,0.4603,0.0074,0.0246,0.3513,38.5265,391.8390
18,15,0.5128,0.1311,0.6265,0.3066,9.8815,119.2728
19,25,0.4688,0.0030,0.0121,0.4093,16.6100,178.2108
20,49,0.4235,0.0138,0.0493,0.6128,46.7789,449.6033
21,36,0.4445,0.0181,0.0597,0.4428,31.8244,413.8915
22,24,0.4303,0.0034,0.0193,0.2648,15.5746,185.1420
23,41,0.4836,0.0098,0.0414,0.3528,41.5870,472.4064
24,36,0.4573,0.0040,0.0202,0.3192,33.7482,317.5685
25,37,0.4377,0.0056,0.0300,0.3729,31.6150,280.9120
26,24,0.4971,0.0038,0.0221,0.4192,18.8218,165.2645
27,25,0.4760,0.0046,0.0483,0.3543,18.0116,156.2400
28,53,0.4175,0.0136,0.0473,0.5786,60.9541,553.0769
29,12,0.4633,0.0081,0.0841,0.2110,7.1609,63.8454
