Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,58,0.4632,0.0181,0.0550,0.6467,0.8096,475.4302
1,33,0.5046,0.0145,0.4464,0.2643,0.2947,174.4260
2,38,0.4715,0.0081,0.0422,0.4500,0.3978,245.1902
3,52,0.4139,0.0111,0.0589,0.3874,0.7629,454.0173
4,22,0.4409,0.0130,0.0677,0.2734,0.2102,187.9611
5,53,0.4485,0.0112,0.0365,0.5508,0.7571,409.2090
6,29,0.4955,0.0035,0.0185,0.3606,0.2288,179.3042
7,40,0.4139,0.0248,0.1558,0.4224,0.5596,293.5106
8,19,0.4755,0.0004,0.0015,0.1588,0.1218,79.8553
9,46,0.4358,0.0146,0.0576,0.3625,0.6072,324.4957
10,41,0.4892,0.0181,0.0605,0.5490,0.4491,348.6815
11,22,0.5179,0.0012,0.0054,0.2854,0.1091,110.6441
12,34,0.4532,0.0165,0.2275,0.4095,0.3619,193.7767
13,27,0.4616,0.0134,0.0810,0.3080,0.2762,593.7614
14,27,0.4841,0.0036,0.0435,0.2517,0.2445,138.0159
15,18,0.4430,0.0115,0.0554,0.3125,0.1362,78.5772
16,37,0.4629,0.0076,0.0668,0.4269,0.4389,244.5011
17,42,0.4780,0.0063,0.0318,0.3689,0.4848,252.9042
18,26,0.4555,0.0053,0.0257,0.4417,0.2621,207.4936
19,29,0.4515,0.0027,0.0180,0.5086,0.2272,143.3238
20,37,0.4891,0.0064,0.0435,0.4489,0.3441,232.3103
21,35,0.4801,0.0047,0.0215,0.4283,0.3211,215.7132
22,28,0.4651,0.0068,0.0544,0.3061,0.2326,218.4290
23,32,0.5113,0.0096,0.0568,0.3009,0.2418,358.2811
24,51,0.4123,0.0164,0.0626,0.4611,0.7288,625.2885
25,47,0.4517,0.0144,0.0603,0.4633,0.6005,329.3370
26,26,0.4961,0.1040,0.9109,0.4372,0.1942,133.6420
27,36,0.4736,0.0151,0.0556,0.5084,0.4711,654.4412
28,48,0.4463,0.0123,0.0631,0.5215,0.6132,350.5856
29,11,0.4531,0.0004,0.0009,0.2050,0.0482,41.9221
