Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,26,0.4593,0.0118,0.0481,0.2686,1.3056,147.6474
1,45,0.4456,0.0101,0.0578,0.3881,2.8942,362.2487
2,40,0.4648,0.0065,0.0366,0.5044,2.0645,274.5156
3,32,0.4076,0.0024,0.0202,0.1892,1.6016,197.4340
4,22,0.5004,0.0015,0.0063,0.2734,1.2165,110.9087
5,37,0.4869,0.0034,0.0235,0.3735,1.9436,247.2504
6,23,0.4720,0.0088,0.1538,0.2219,1.1968,118.9150
7,45,0.3808,0.0156,0.0525,0.4618,2.5678,355.8274
8,23,0.4438,0.0238,0.4505,0.1952,1.2568,154.2149
9,40,0.4600,0.0070,0.0329,0.3252,2.0457,876.0173
10,20,0.5083,0.0031,0.0232,0.2539,1.1366,120.6868
11,39,0.4582,0.0095,0.0381,0.4788,1.8458,308.9948
12,47,0.4073,0.0145,0.0434,0.5647,2.4636,371.1391
13,21,0.5016,0.0011,0.0048,0.2297,1.2028,95.5654
14,35,0.4176,0.0079,0.0466,0.3520,1.9052,236.1298
15,21,0.4440,0.0023,0.0073,0.3582,1.1613,128.1457
16,44,0.4522,0.0143,0.0652,0.5009,2.4547,360.8000
17,47,0.4539,0.0113,0.0506,0.4437,2.6920,473.4627
18,14,0.5052,0.0353,0.2741,0.3018,0.9175,61.9053
19,20,0.4390,0.0015,0.0101,0.2939,1.1283,89.7137
20,42,0.4612,0.0091,0.0422,0.5034,2.0111,401.7621
21,17,0.4656,0.0050,0.0541,0.2152,0.9990,86.5343
22,29,0.4512,0.0034,0.0369,0.3156,1.5578,168.6802
23,29,0.4845,0.0037,0.0184,0.2807,1.3927,220.3641
24,9,0.4911,0.0155,0.0566,0.0864,0.7942,39.9151
25,11,0.4828,0.0075,0.0709,0.0903,0.8276,49.4057
26,10,0.5328,0.0003,0.0012,0.1739,0.8333,38.7669
27,30,0.4663,0.0061,0.0276,0.4262,1.5325,228.5618
28,29,0.4893,0.0019,0.0097,0.3162,1.4328,184.6408
29,17,0.4585,0.0017,0.0082,0.2705,1.0281,110.1739
