Data,Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
time_series,left_bottom,33,0.376137068895021,0.001192156886972,0.012466139569801,0.591264363425926,0.910647630691528,165.3957
,heightmap_min,5,0.382111524323941,0.135480648053368,0.336472236992959,0.336472236992959,0.053939580917358,21.2956
,LSAH,25,0.415466053839176,0.000513986344732,0.003551886924869,0.435383871527778,0.07900857925415,114.2719
,MACS,12,0.336098535554235,0.001294891612602,0.005278432073735,0.223931774305556,0.050683259963989,92.8223
,RANDOM,3,0.367765754862605,0.004786397899255,0.014217964694625,0.056059353009259,0.034703731536865,11.7984
,OnlineBPH,18,0.342745155346725,0.007744326261438,0.05102435879136,0.312144158564815,0.034306764602661,78.0663
,DBL,35,0.375163546397677,0.004936101205435,0.039382755802045,0.635747743055556,0.979133367538452,206.6512
,BR,28,0.364135627399375,0.002490925652228,0.012320201654407,0.476438087962963,5.209233045578,172.6764
,pct,12,0.401789479402929,0.019268420135175,0.113808549852928,0.223931774305556,0.041510343551636,71.7808
occupancy,left_bottom,20,0.376943316785142,0.000523188437555,0.00515752050247,0.381271448268176,0.333927154541016,88.6338
,heightmap_min,24,0.379304677552902,0.004430266973824,0.01440399913925,0.589012092558299,0.403862476348877,183.7458
,LSAH,20,0.396650962323277,0.000753011568706,0.007248511069628,0.381271448268176,0.066129922866821,88.2551
,MACS,3,0.331188717492906,0.079732691795181,0.102294445913456,0.048802512002744,0.008881330490112,13.2464
,RANDOM,4,0.357925240558367,0.000311144999,0.000520204369347,0.067430443895748,0.039785861968994,17.3873
,OnlineBPH,8,0.353524942910858,0.004964858676559,0.010807333173523,0.099070503052126,0.009732484817505,31.8133
,DBL,15,0.368695038441172,0.00014731376416,0.000616580122919,0.195453712071331,0.214790105819702,61.372
,BR,8,0.347450298038514,0.000794328625114,0.002472356806647,0.099070503052126,0.014317512512207,34.3196
,pct,15,0.33702828986023,0.042891792691366,0.360396429195089,0.195453712071331,0.059103727340698,86.0215
flat_long,left_bottom,20,0.258376103482084,0.016291083556221,0.05633696598598,0.257308810763889,0.155546426773071,89.6815
,heightmap_min,10,0.244093770781282,0.130741930228079,0.358140995033257,0.141308159722222,0.070738315582275,35.3421
,LSAH,28,0.221834384609891,0.028720537429583,0.109380849603042,0.357080078125,0.047141790390015,129.9456
,MACS,5,0.176085890796723,0.024682401014945,0.037424392108561,0.076755208333333,0.016769647598267,18.1172
,RANDOM,6,0.158738832100203,0.009899519920872,0.026565042711469,0.08503443287037,0.038910150527954,20.019
,OnlineBPH,14,0.208343088807025,0.023448620114168,0.055227268207172,0.181715277777778,0.017608165740967,53.398
,DBL,15,0.241747944992603,0.028113996943644,0.066972643093144,0.197215277777778,0.110191345214844,64.1717
,BR,9,0.243963484564606,0.054241077969713,0.11845140831289,0.130901909722222,0.024403810501099,31.2231
,pct,19,0.279389155807025,0.01457965245173,0.05448637089449,0.250433810763889,0.098788261413574,61.3678
