Data,Feasible Num,Space Utilization,Planning Time,All time
0,30,0.3125633673611112,26.866824865341187,99.8577
1,30,0.2171256798611111,27.754722356796265,100.7724
2,25,0.25434182222222224,21.817837476730347,83.5349
3,38,0.24800465138888889,37.061854124069214,128.2803
4,21,0.24442554166666666,15.33580493927002,67.396
5,28,0.27804973333333327,24.273414850234985,92.3541
6,23,0.22193679722222223,18.920737743377686,75.5388
7,14,0.20566797916666665,8.72529649734497,45.5153
8,36,0.3343121583333334,33.23765969276428,119.9664
9,35,0.2945428972222222,34.441694498062134,118.8327
10,20,0.25392128124999996,15.45720887184143,65.638
11,19,0.2463903819444444,14.552297830581665,62.4846
12,26,0.28638381944444447,22.338996648788452,85.9152
13,17,0.17475308333333336,12.383106470108032,55.4626
14,28,0.26472659513888885,24.255329132080078,92.6271
15,14,0.2537337888888889,9.302715539932251,45.6266
16,24,0.29765719236111116,19.629502296447754,79.1699
17,34,0.29587681458333337,32.441314935684204,114.9716
18,13,0.2693523569444444,8.605883121490479,42.785
19,19,0.2662581027777778,14.05051040649414,61.6805
20,21,0.22550327569444445,17.138089179992676,69.7076
21,26,0.28215748958333337,22.517725229263306,86.2714
22,21,0.2288618236111111,15.335411787033081,67.4864
23,23,0.2201633520833333,18.404991149902344,75.7179
24,35,0.3078790979166667,33.92670798301697,118.6206
25,30,0.2829566555555556,26.603793382644653,99.4543
26,12,0.20548997500000002,7.479298114776611,39.5157
27,17,0.23068089375000003,11.658241748809814,54.934
28,25,0.2752967604166667,21.30869960784912,82.7426
29,15,0.23091024166666668,9.780874013900757,48.3009
