Data,Feasible Num,Space Utilization,Planning Time,All time
0,49,0.5718216402777778,45.5554621219635,161.2037
1,60,0.5796995590277779,59.16573357582092,199.8095
2,42,0.5616275166666667,39.341968059539795,138.6795
3,69,0.5805102597222221,74.43156814575195,235.2923
4,38,0.5607721583333334,29.86164426803589,120.4713
5,53,0.5508370527777778,48.82733678817749,173.5926
6,34,0.4913547722222223,25.48442840576172,106.8897
7,63,0.6231951333333333,81.81925249099731,229.9533
8,64,0.6173025111111111,63.59658408164978,213.7493
10,59,0.6976543020833333,60.89783263206482,199.6418
11,47,0.5753102756944445,51.112815618515015,161.8276
12,47,0.5646954430555557,42.37789297103882,153.149
13,46,0.5470337541666667,35.905139446258545,144.4359
14,47,0.5514584791666667,40.3723361492157,151.5584
15,36,0.5517869805555555,28.4044451713562,114.0383
16,57,0.6111254673611112,60.046959400177,194.0058
17,56,0.5315224847222223,56.58081889152527,187.9243
18,33,0.5877901375000001,23.062306880950928,101.9517
19,34,0.6221303861111112,22.30450749397278,103.4513
20,49,0.6128196951388889,47.86650085449219,163.2327
21,45,0.5404228611111112,42.3749783039093,148.6962
22,59,0.6069234930555555,57.702940702438354,196.5145
23,52,0.5632723833333333,54.880532026290894,176.8911
24,71,0.6384397972222222,81.99365782737732,248.2897
25,56,0.5745674416666667,54.192739963531494,185.7783
26,39,0.6215602840277781,33.39390754699707,126.2651
27,46,0.611091042361111,42.541159868240356,151.5981
28,59,0.6454920493055556,65.24464464187622,203.5695
29,37,0.5847732958333334,28.13445806503296,115.9246
